evenL evenC oddC evenM oddM magL bigC litterC bigM litterM oe bl
13 4 0 5 4 13 0 2 4 3 0 0
13 0 1 5 4 13 1 0 4 3 0 1
13 0 2 5 4 14 0 1 4 3 1 1
12 1 0 5 4 15 0 2 4 3 0 0
13 0 1 5 4 14 1 0 4 3 0 0
14 0 2 5 4 13 2 0 4 3 1 1
13 1 0 5 4 13 0 1 4 3 0 0
13 0 1 5 4 13 1 0 4 3 0 0
14 0 2 5 4 12 2 0 4 3 1 1
13 1 0 5 4 13 0 1 4 3 1 0
13 2 0 5 4 13 1 0 4 3 1 0
13 3 0 5 4 12 2 0 4 3 1 0
12 4 0 5 4 12 3 0 4 3 1 1
12 5 0 5 5 13 0 1 4 3 0 1
13 0 1 5 5 13 0 2 4 3 0 1
14 0 2 5 5 14 0 3 4 3 1 0
14 1 0 5 5 13 1 0 4 3 0 0
14 0 1 5 5 12 2 0 4 3 0 1
15 0 2 5 5 12 0 1 4 3 1 0
15 1 0 5 5 12 1 0 4 3 0 0
16 0 1 5 5 11 2 0 4 3 1 1
15 1 0 4 5 12 0 1 4 3 0 0
15 0 1 3 5 12 1 0 4 3 0 1
15 0 2 2 5 12 0 1 4 3 0 0
15 0 3 3 5 12 1 0 3 3 1 0
14 1 0 3 5 12 2 0 3 3 1 1
14 2 0 3 5 13 0 1 3 3 0 0
15 0 1 3 5 13 1 0 3 3 0 0
16 0 2 3 5 12 2 0 3 3 1 1
16 1 0 3 5 12 0 1 3 3 0 1
16 0 1 3 5 13 0 2 3 3 0 1
16 0 2 3 5 13 0 3 3 3 0 0
17 0 3 3 5 12 1 0 3 3 1 0
16 1 0 3 5 12 2 0 3 3 1 0
15 2 0 3 5 12 3 0 3 3 0 0
16 0 1 3 5 11 4 0 4 3 1 1
15 1 0 3 5 12 0 1 4 3 0 0
15 0 1 3 5 12 1 0 4 3 1 1
15 1 0 3 4 12 0 1 4 3 1 1
15 2 0 3 3 13 0 2 4 3 1 0
15 3 0 3 3 13 1 0 4 3 1 0
15 4 0 3 4 13 2 0 4 3 1 1
15 5 0 3 5 13 0 1 4 3 1 0
14 6 0 3 6 12 1 0 4 3 1 1
13 7 0 3 7 12 0 1 4 3 1 1
13 8 0 3 8 13 0 2 4 3 0 0
13 0 1 3 8 13 1 0 4 3 0 0
13 0 2 3 8 12 2 0 4 3 1 0
13 1 0 3 8 12 3 0 4 3 0 1
13 0 1 3 8 13 0 1 4 3 0 0
14 0 2 3 8 12 1 0 4 3 1 0
13 1 0 3 8 12 2 0 4 3 0 0
13 0 1 3 8 11 3 0 4 3 1 1
12 1 0 3 8 12 0 1 4 3 0 1
13 0 1 3 8 13 0 2 4 3 0 0
14 0 2 3 8 12 1 0 4 3 1 1
13 1 0 3 8 13 0 1 4 3 0 1
13 0 1 3 8 14 0 2 4 3 1 0
13 1 0 3 8 13 1 0 4 2 1 1
12 2 0 2 8 13 0 1 4 2 1 1
11 3 0 2 8 13 0 2 4 2 0 1
11 0 1 2 8 14 0 3 3 3 1 0
11 1 0 2 8 14 1 0 3 3 1 1
11 2 0 2 8 15 0 1 3 3 0 0
11 0 1 2 8 15 1 0 3 3 1 1
11 1 0 2 8 15 0 1 3 3 0 0
11 0 1 2 8 15 1 0 3 3 0 1
12 0 2 2 7 15 0 1 3 3 0 0
13 0 3 3 6 14 1 0 3 3 1 1
13 1 0 3 5 15 0 1 3 3 0 0
14 0 1 3 4 15 1 0 3 3 0 1
15 0 2 3 3 15 0 1 3 3 0 1
16 0 3 3 3 16 0 2 3 3 1 0
16 1 0 3 3 15 1 0 3 3 1 1
16 2 0 3 3 15 0 1 3 3 1 1
15 3 0 3 3 16 0 2 3 3 1 1
14 4 0 3 4 17 0 3 3 3 1 1
14 5 0 3 5 18 0 4 3 4 0 1
14 0 1 3 5 18 0 5 3 5 0 1
14 0 2 3 5 19 0 6 2 6 0 0
15 0 3 3 5 19 1 0 0 6 1 1
14 1 0 3 5 20 0 1 0 6 0 1
15 0 1 3 5 20 0 2 0 6 0 0
15 0 2 3 5 19 1 0 0 6 0 0
15 0 3 3 5 19 2 0 2 6 1 0
15 1 0 3 5 18 3 0 3 6 1 1
14 2 0 3 5 18 0 1 3 6 0 0
15 0 1 3 5 18 1 0 3 6 0 0
16 0 2 3 5 17 2 0 3 6 0 1
17 0 3 3 5 17 0 1 3 6 1 1
10 4 0 4 6 20 0 3 3 7 0 0
11 0 1 4 6 20 1 0 3 7 1 0
10 1 0 4 6 20 2 0 3 7 0 1
10 0 1 4 6 20 0 1 3 7 0 0
11 0 2 4 6 19 1 0 3 7 0 0
12 0 3 4 6 18 2 0 3 7 1 0
12 1 0 4 6 17 3 0 3 7 1 0
11 2 0 4 6 17 4 0 4 7 1 1
11 3 0 4 5 17 0 1 4 6 0 0
12 0 1 4 4 16 1 0 4 5 1 0
12 1 0 4 4 15 2 0 4 4 1 0
12 2 0 4 4 14 3 0 4 3 0 0
13 0 1 4 4 13 4 0 4 3 1 1
13 1 0 4 4 13 0 1 4 3 0 1
13 0 1 4 4 13 0 2 4 3 1 1
12 1 0 4 4 14 0 3 4 3 1 1
12 2 0 4 4 15 0 4 4 4 0 0
13 0 1 4 4 14 1 0 4 4 0 1
14 0 2 4 4 14 0 1 4 4 0 0
15 0 3 4 4 13 1 0 4 4 1 0
14 1 0 4 4 13 2 0 4 4 0 0
15 0 1 4 4 12 3 0 4 4 1 1
14 1 0 3 4 12 0 1 4 4 0 1
14 0 1 3 4 12 0 2 4 4 0 1
14 0 2 3 4 13 0 3 4 4 0 0
14 0 3 3 4 13 1 0 4 4 0 0
15 0 4 4 3 13 2 0 4 4 0 1
16 0 5 5 3 13 0 1 4 4 1 1
16 1 0 5 3 13 0 2 4 4 0 0
17 0 1 5 3 12 1 0 4 4 0 1
17 0 2 5 3 13 0 1 4 4 0 0
18 0 3 5 3 13 1 0 4 4 1 0
17 1 0 5 3 12 2 0 4 4 0 0
17 0 1 5 3 12 3 0 4 4 0 0
17 0 2 5 3 12 4 0 4 4 0 0
18 0 3 5 2 12 5 0 5 4 0 0
19 0 4 5 2 12 6 0 6 4 0 1
20 0 5 5 2 12 0 1 6 4 1 0
19 1 0 5 2 12 1 0 6 4 1 1
19 2 0 5 2 13 0 1 6 4 1 1
19 3 0 5 3 14 0 2 6 4 1 0
18 4 0 5 4 14 1 0 6 4 1 0
18 5 0 5 5 13 2 0 6 3 1 1
17 6 0 5 6 13 0 1 6 3 0 0
18 0 1 5 6 12 1 0 6 3 1 1
18 1 0 5 6 12 0 1 6 3 1 1
17 2 0 5 6 13 0 2 6 3 1 1
16 3 0 5 6 13 0 3 6 3 0 1
16 0 1 5 6 14 0 4 6 4 0 0
17 0 2 5 6 14 1 0 6 4 1 1
16 1 0 5 6 15 0 1 6 4 1 1
16 2 0 5 6 15 0 2 6 4 1 1
15 3 0 5 6 15 0 3 6 4 0 0
15 0 1 5 6 14 1 0 6 4 0 0
15 0 2 5 6 14 2 0 6 4 1 1
14 1 0 5 6 15 0 1 6 4 1 0
13 2 0 5 6 14 1 0 6 4 1 1
13 3 0 5 6 14 0 1 6 4 0 0
13 0 1 5 6 14 1 0 6 4 0 1
13 0 2 5 6 14 0 1 6 4 0 1
13 0 3 5 6 15 0 2 5 4 1 0
13 1 0 5 6 15 1 0 4 4 0 0
13 0 1 4 6 15 2 0 3 4 0 0
13 0 2 3 6 15 3 0 3 4 1 0
12 1 0 3 6 15 4 0 4 4 0 0
12 0 1 3 6 15 5 0 5 4 1 0
11 1 0 3 6 14 6 0 6 4 0 0
12 0 1 3 5 14 7 0 7 4 0 0
13 0 2 3 4 13 8 0 8 4 0 1
14 0 3 3 3 13 0 1 8 4 1 0
14 1 0 3 3 13 1 0 8 4 1 1
14 2 0 3 3 14 0 1 8 4 1 0
14 3 0 3 3 13 1 0 8 4 1 0
13 4 0 3 4 13 2 0 8 4 1 0
13 5 0 3 5 12 3 0 8 3 0 0
14 0 1 3 5 11 4 0 8 3 1 1
14 1 0 3 5 11 0 1 8 3 1 1
13 2 0 3 5 11 0 2 8 3 1 1
12 3 0 3 5 12 0 3 8 3 1 0
12 4 0 3 5 11 1 0 8 3 1 1
12 5 0 3 5 11 0 1 8 3 1 0
12 6 0 3 6 10 1 0 8 3 1 1
11 7 0 3 7 11 0 1 8 3 1 0
10 8 0 3 8 11 1 0 8 3 1 1
10 9 0 3 9 11 0 1 8 3 1 0
10 10 0 3 10 11 1 0 8 3 0 1
11 0 1 3 10 11 0 1 8 3 1 0
10 1 0 3 10 11 1 0 8 3 0 0
10 0 1 3 10 10 2 0 8 3 0 0
10 0 2 3 10 9 3 0 8 3 0 1
17 0 1 7 7 17 1 0 2 5 1 1
16 1 0 7 7 17 0 1 2 5 1 1
15 2 0 7 7 18 0 2 2 5 1 1
15 3 0 7 7 19 0 3 2 5 0 1
16 0 1 7 7 19 0 4 2 5 1 1
15 1 0 7 7 19 0 5 2 5 0 0
